[07-29-2023 16:09:51] INFO // flux.app // START init of the application
[07-29-2023 16:09:51] INFO // flux.app // END init of the application
[07-29-2023 16:10:07] INFO // flux.app // TRY API connection
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/healthcheck
[07-29-2023 16:10:08] INFO // flux.app // SUCCES API connection
[07-29-2023 16:10:08] INFO // flux.app // START create homepage
[07-29-2023 16:10:08] INFO // flux.homepage // TRY create SearchBloc part
[07-29-2023 16:10:08] INFO // flux.homepage.form // TRY get data for input
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=chamber
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=formation
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=theme
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=theme&context_value=ca
[07-29-2023 16:10:08] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=type
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=publication
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=solution
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=jurisdiction
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=operator
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=location&context_value=ca
[07-29-2023 16:10:09] INFO // api.api_connexion // Thread-1 (_start_main_window_setup)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/taxonomy?id=filetype
[07-29-2023 16:10:09] INFO // flux.homepage.form // SUCCESS get data for input
[07-29-2023 16:10:09] INFO // flux.homepage // SUCCESS create SearchBloc part
[07-29-2023 16:10:09] INFO // flux.app // SUCCESS homepage created
[07-29-2023 16:10:18] INFO // flux.app // TRY user API request
[07-29-2023 16:10:18] INFO // api.api_connexion // Thread-2 (_start_api_request)// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=0&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=3&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=1&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=4&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=5&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=2&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=9&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=7&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=0&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=6&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] WARNING // api.api_connexion // ThreadPoolExecutor-0_6// Backing off 0.9 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=8&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=16&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=12&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=10&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=11&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=15&batch_size=50&jurisdiction=cc&date_start=2023
